a,b
Gaming Industries,0.23120115435630925
Other Services,0.14297428902641118
General Merchandise Stores,0.13446984507050716
Limited-Service Restaurants Fast casual restaurants,0.09843004987692222
Health and Personal Care Stores,0.0929788349312128
