a,b
General Merchandise Stores,0.27917177596020176
Limited-Service Restaurants Fast casual restaurants,0.12989783632974108
"Salons, Drycleaning/Laundry, & Pet Care",0.08986654733162376
"Arts, Entertainment and Recreation",0.07793614379170048
Unknown,0.07197308537855
