a,b
Gaming Industries,0.24085557786315095
Other Services,0.1489445634426163
General Merchandise Stores,0.14074942791937012
Health and Personal Care Stores,0.09557763687756643
Limited-Service Restaurants Fast casual restaurants,0.07248483452345421
