a,b
Gaming Industries,0.19467156837746466
Other Services,0.12783431166102974
Limited-Service Restaurants Fast casual restaurants,0.12246963755408734
General Merchandise Stores,0.07906832130194962
Clothing and Clothing Accessories Stores,0.07764597046294262
