a,b
Gaming Industries,0.2132564342199962
Other Services,0.14003837182294307
Limited-Service Restaurants Fast casual restaurants,0.10742663216707453
Health and Personal Care Stores,0.10042441865915505
General Merchandise Stores,0.08661679977797253
