a,b
Gaming Industries,0.23935615080775596
Other Services,0.14801732102555779
General Merchandise Stores,0.13987320366030986
Health and Personal Care Stores,0.09498262597561269
Limited-Service Restaurants Fast casual restaurants,0.06994005320820129
