a,b
"Arts, Entertainment and Recreation",0.23606780893063622
General Merchandise Stores,0.23438532290030797
Miscellaneous Store Retailers,0.07643814035170772
Other Services,0.07248217517564462
Supermarkets and Other Grocery Stores,0.06948878861374629
