a,b
Gaming Industries,0.22069559141337727
Other Services,0.13647332851333416
Health and Personal Care Stores,0.13327265894140586
General Merchandise Stores,0.128964377554502
Limited-Service Restaurants Fast casual restaurants,0.09513650436650502
