a,b
Clothing and Clothing Accessories Stores,0.2690981409524513
General Merchandise Stores,0.16911196632882722
"Salons, Drycleaning/Laundry, & Pet Care",0.0905705901866055
Limited-Service Restaurants Fast casual restaurants,0.07918247051071285
Unknown,0.07875205576998844
